Company Name,Rating,Average Salary,Role
PSG College of Technology,4.1,12L -13L,Data Scientist
Capgemini,3.8,3L -3L,Data Scientist
Panduit,3.6,16L -17L,Data Scientist
Datamatics Global Services,3.5,3L -4L,Data Scientist - Intern
Zephyr,3.9,10L -11L,Data Scientist
Raju Tech,3.8,6L -6L,Data Scientist
Devialet,3.5,CA$6T -CA$6T,Data Scientist
Insurance Information Bureau of India,4.0,43T -47T,Data Scientist - Monthly
Expert Freelancer Inc.,4.5,5L -6L,Data Scientist
Sukshi,3.4,32T -35T,Data Scientist - Monthly
Intelliwings,5.0,15T -16T,Data Scientist - Monthly
Praktice Ai,2.4,32T -35T,Data Scientist - Monthly Intern
Accion Labs,4.0,34T -36T,Data Scientist - Monthly Intern
BitLogic Software,4.4,4L -4L,Data Scientist
Netcracker Technology,3.8,18L -19L,Data Scientist
The Network Hub,4.5,3L -4L,Data Scientist
Nxtra Data,3.4,20T -22T,Data Scientist - Monthly
a2z Development Center,3.5,75T -81T,Data Scientist - Intern
Public Affairs Center,2.8,8L -8L,Data Scientist
Scintel Technologies,4.0,15L -16L,Data Scientist
National Centre for Biological Sciences,4.2,4L -5L,Data Scientist
NicheSolv,4.7,12T -14T,Data Scientist - Monthly Intern
1Gen,4.7,8L -9L,Data Scientist
SolarWinds,3.6,10L -11L,Data Scientist
FM Logistic,3.5,14T -15T,Data Scientist - Monthly Contractor
Symbiosis Institute of Computer Studies and Research,3.6,5L -5L,Data Scientist
NTT Ltd.,3.9,555 -602,Data Scientist - Hourly
Strokx Technologies,3.7,2L -3L,Data Scientist
Expedia Group,4.1,9L -10L,Data Scientist - Contractor
Novitu Soft Labs,3.0,2L -2L,Data Scientist
TheMathCompany,4.1,6L -6L,Data Scientist - Intern
Dexpro Innovations,4.5,19T -21T,Data Scientist - Monthly
NIT Trichy,4.3,12T -13T,Data Scientist - Monthly Intern
Dr. Dennis Gross Skincare,3.5,97T -1L,Data Scientist
AlmaBetter,4.2,24T -26T,Data Scientist - Monthly Intern
J. Kumar Infraprojects,3.5,12L -13L,Data Scientist
ValueFirst Digital Media,3.9,17T -18T,Data Scientist - Monthly Intern
SPS Commerce,4.2,29T -32T,Data Scientist - Monthly
PRM Fincon,3.7,21L -22L,Data Scientist
Defence Research & Development Organisation,4.4,98T -1L,Data Scientist
AppViewX,3.5,20L -22L,Data Scientist
Intellect Design Arena,4.1,11T -12T,Data Scientist - Monthly Intern
Amphisoft Technologies,3.2,35L -38L,Data Scientist - Contractor
Contentstack,4.3,4L -4L,Data Scientist
Société Générale de Presse,5.0,14L -15L,Data Scientist
RS Software,3.7,6L -7L,Data Scientist
Rakuten,3.7,1L -2L,Data Scientist
Quint Digital,2.8,7T -8T,Data Scientist - Monthly
Zolve (India),2.5,14L -16L,Data Scientist
Happiest Minds Technologies,4.3,8L -8L,Data Scientist
Total Assault,4.0,10L -11L,Data Scientist
Curl (India),,9L -10L,Data Scientist
Kyvor Genomics,4.5,9L -10L,Data Scientist - Contractor
Devic Earth,4.4,5L -5L,Data Scientist
Capillary Technologies,4.1,14L -14L,Data Scientist
SONARI,,8L -9L,Data Scientist
Enterprise Bot,3.9,14L -15L,Data Scientist
Pastelcube Technologies,5.0,29T -32T,Data Scientist - Monthly
AppliedAICourse,4.1,6L -7L,Data Scientist
Nineleaps Technology Solutions,4.3,8L -9L,Data Scientist
MResult,4.4,6L -6L,Data Scientist - Contractor
Pankaj Joshi Consultancy,3.4,5L -6L,Data Scientist
Swami Vivekanand Group of Institutions,4.0,5L -5L,Data Scientist
KIE Square Consulting,3.7,67T -72T,Data Scientist - Monthly
Mintifi,4.0,9L -10L,Data Scientist
DRG Concepts,4.0,15L -16L,Data Scientist
North American Corporation,4.1,60T -64T,Data Scientist - Monthly Contractor
Umedica Laboratories,3.9,2L -2L,Data Scientist
Wavestone,4.0,35L -38L,Data Scientist - Contractor
DONE by NONE,4.0,5L -6L,Data Scientist
"NextEra Energy, Inc.",3.8,97T -1L,Data Scientist - Monthly
Python Developer,4.3,4L -5L,Data Scientist
SomeOne,4.3,6L -6L,Data Scientist
Mopro,3.0,14L -16L,Data Scientist
Husqvarna Group,3.8,91T -99T,Data Scientist - Monthly
XYZ,3.8,4L -4L,Data Scientist - Contractor
Student Loans Company,3.0,6L -6L,Data Scientist
Fellowship.AI,3.7,31L -33L,Data Scientist
Unacademy,3.7,98 -106,Data Scientist - Hourly
Zaechel International,3.7,15L -16L,Data Scientist
C-DAC,3.8,5L -5L,Data Scientist - Intern
Srinivas Group,3.7,3L -3L,Data Scientist
VHS Consulting,3.5,6L -6L,Data Scientist - Contractor
AMD,4.2,68T -73T,Data Scientist - Monthly
NNE,4.2,16L -17L,Data Scientist
Goodwill,3.3,16T -17T,Data Scientist - Monthly
Amazon Lab126,3.7,52T -56T,Data Scientist - Intern
Mywbut,4.4,6L -6L,Data Scientist
Kainv Global,,98T -1L,Data Scientist - Monthly
Ezzy Infotech,4.3,6L -6L,Data Scientist
AB InBev,3.9,14L -16L,Data Scientist - Intern
Energy Exemplar,4.3,1L -1L,Data Scientist
Chegg,4.1,14T -16T,Data Scientist - Monthly
Pozitive Energy,3.9,8L -8L,Data Scientist
Innoviti,2.9,22T -24T,Data Scientist - Monthly Intern
Velankani Group,3.1,96T -1L,Data Scientist - Monthly
Heaven Explorer,,48L -53L,Data Scientist
Paninian India,3.0,8L -8L,Data Scientist
Kudos Finance and Investments,4.4,34T -37T,Data Scientist - Monthly
Blue Shield Of California,3.9,10L -11L,Data Scientist
EFKON INDIA PVT,3.7,6L -6L,Data Scientist
Adobe,4.4,2L -2L,Data Scientist - Monthly
Aditya Birla Capital,4.0,16L -17L,Data Scientist
Dr.Subhendu Mohanty,,13L -15L,Data Scientist
Yulu Bikes,4.2,23L -25L,Data Scientist
Stanza Living,3.2,99T -1L,Data Scientist - Monthly
Oracle,3.9,12L -13L,Data Scientist
CIED Technologies,4.7,9L -10L,Data Scientist
The Sparks Foundation,3.8,5L -6L,Data Scientist
Bounce,3.9,32T -36T,Data Scientist - Monthly Intern
360DigiTMG,4.6,4L -4L,Data Scientist
Bharti Airtel,4.2,4L -4L,Data Scientist
Litmus World,4.2,12L -13L,Data Scientist
Linde,3.8,20L -22L,Data Scientist
Usha International Limited,3.9,22L -24L,Data Scientist
IMS Learning Resources,3.8,6L -6L,Data Scientist
C-DAC,3.8,5L -5L,Data Scientist
Inmar,3.6,6L -7L,Data Scientist
Great Learning,4.0,25T -28T,Data Scientist - Monthly Intern
Anko,4.3,15L -16L,Data Scientist
EnKash,4.6,4L -5L,Data Scientist
Sahajanand Medical Technologies,4.2,5L -5L,Data Scientist - Contractor
Extramarks,3.7,14T -16T,Data Scientist - Monthly Intern
Moody's Investors Service,3.9,12L -13L,Data Scientist
Institut Multidisciplinaire de Biochimie des Lipides,,98T -1L,Data Scientist - Monthly
"SIES College of Arts, Science & Commerce",4.1,3L -3L,Data Scientist
Jupitice Justice Technologies,3.7,5L -5L,Data Scientist
Capgemini,3.8,5L -5L,Data Scientist
Motorq,5.0,1L -1L,Data Scientist - Monthly Intern
St. John’s Research Institute,4.2,49T -53T,Data Scientist - Monthly
Sravathi Advance Process Technologies,4.1,30T -33T,Data Scientist - Monthly Intern
TuringMinds.Ai,2.6,6L -6L,Data Scientist
Dean Group,4.6,5L -5L,Data Scientist - Monthly
Arthmate,4.2,14L -16L,Data Scientist
Shine,4.5,8L -8L,Data Scientist
Essprom Consultants,3.5,24T -25T,Data Scientist - Monthly
National Thermal Power,4.3,23L -25L,Data Scientist - Contractor
Tookitaki,4.5,CA$10T -CA$11T,Data Scientist - Monthly
RAK Analytic Solutions,3.9,4L -5L,Data Scientist
SKF,3.8,8L -9L,Data Scientist
Redback,4.1,2L -3L,Data Scientist
SIBIA Analytics and Consulting Services,3.8,20T -22T,Data Scientist - Monthly
Careerlink Management Consultants,,54T -58T,Data Scientist - Monthly
Insight Data Science,3.8,8L -8L,Data Scientist
Congregation Brit Shalom,4.0,6L -7L,Data Scientist
Yamaha Motor Solutions India,3.5,10L -11L,Data Scientist
Publicis Groupe,3.9,7L -7L,Data Scientist
360DigiTMG,4.6,7T -7T,Data Scientist - Monthly Intern
YouTube,4.4,56T -62T,Data Scientist - Monthly
ModeliCon InfoTech,4.0,34T -36T,Data Scientist - Monthly
Grail Insights,3.5,15L -16L,Data Scientist
HDNET,4.0,6L -6L,Data Scientist
Telstra,3.9,20L -22L,Data Scientist
Skill Vendors,4.2,14L -15L,Data Scientist
Bidgely,4.0,17L -18L,Data Scientist - Intern
SilverNeuron Consulting,3.2,10L -11L,Data Scientist
WheelsEye Technology,3.9,29L -31L,Data Scientist
Annalect,3.9,69T -74T,Data Scientist - Monthly
Allsec,3.4,20T -22T,Data Scientist - Monthly
Lathrop Gage,3.0,43T -47T,Data Scientist - Monthly
Evertz Microsystems,3.2,5L -5L,Data Scientist
RAACOM Infosystems,2.8,8L -9L,Data Scientist
Redington Group,4.3,1L -1L,Data Scientist - Monthly
IIIT Hyderabad,4.5,38T -41T,Data Scientist - Monthly
HigherEdLab,4.0,2L -2L,Data Scientist
Arya.ai,4.2,£12L -£13L,Data Scientist
Cogito Tech LLC,4.5,8L -8L,Data Scientist
Carrier,3.6,23L -25L,Data Scientist
Dhiraj & Dheeraj,4.0,6L -6L,Data Scientist
Innodatatics,4.3,15T -16T,Data Scientist - Monthly
Société Générale,3.5,95L -1Cr,Data Scientist
Tetra Pak,4.2,10L -11L,Data Scientist
Masai School,4.2,10L -10L,Data Scientist
AV Solutions,4.1,£2L -£2L,Data Scientist
Corvi LED Light,3.5,52T -56T,Data Scientist - Monthly
TheRightDoctors,3.4,3L -3L,Data Scientist
Unyscape Infocom,4.4,5L -5L,Data Scientist
Rubicon Red,4.8,55T -59T,Data Scientist - Monthly
Lambdanets,3.9,11L -12L,Data Scientist
Geoinsyssoft,5.0,5L -6L,Data Scientist
Mechademy Engineering Solutions,4.9,19L -20L,Data Scientist
Vivriti Capital,4.5,21T -23T,Data Scientist - Monthly Intern
Duratech Solutions,4.7,2L -3L,Data Scientist
MiQ,3.9,£19L -£20L,Data Scientist
Techions Software Labs,,24L -26L,Data Scientist
Eat Local Eat Natural,4.0,27T -29T,Data Scientist - Monthly Intern
Walmart Global Tech,3.9,8L -9L,Data Scientist - Contractor
Lokyata,5.0,15L -16L,Data Scientist
Nice,3.8,10L -11L,Data Scientist
Banaras Hindu University,4.4,9L -9L,Data Scientist
Analysts,4.2,8L -9L,Data Scientist
Bharat Soft Solutions,4.5,$87T -$93T,Data Scientist
Yoyo,4.2,1L -1L,Data Scientist
VAMA Industries,3.7,50T -54T,Data Scientist - Monthly
Harshit Info Solutions,4.0,5L -6L,Data Scientist - Intern
Xoanon Analytics,3.9,12L -13L,Data Scientist
Jaitra,2.9,15L -17L,Data Scientist
Aeries Technology,4.3,13L -14L,Data Scientist
Predictive Research,4.0,19T -21T,Data Scientist - Monthly Contractor
Fidelity International,4.3,51L -55L,Data Scientist
Intelliquity,3.9,8L -9L,Data Scientist
CAP FORCE,5.0,19T -20T,Data Scientist - Monthly
Ecom Express,3.9,54T -58T,Data Scientist - Monthly
City Union Bank,2.9,10L -10L,Data Scientist
Tribes.AI,4.8,4L -4L,Data Scientist - Intern
Morgan Stanley,4.0,83T -91T,Data Scientist - Monthly Intern
Amiable Infotech,4.2,4L -5L,Data Scientist
American Student Assistance,3.6,26T -28T,Data Scientist - Monthly
Nilkamal,3.9,6L -7L,Data Scientist
no/one,3.8,38T -41T,Data Scientist - Monthly
Ameliorate Digital Consultancy,4.3,23T -25T,Data Scientist - Monthly
Synopsys,4.1,30T -32T,Data Scientist - Monthly Contractor
Kapil IT Solutions,4.1,2L -2L,Data Scientist
Impact Analytics,4.0,$78T -$85T,Data Scientist
CanGo Networks,4.0,51T -55T,Data Scientist - Monthly
Ocwen Financial,3.6,12L -13L,Data Scientist
Cornerstone OnDemand,3.7,19L -20L,Data Scientist
Nestlé,4.1,21T -23T,Data Scientist - Monthly Intern
Test,4.1,99T -1L,Data Scientist - Monthly
ICON,3.7,18L -20L,Data Scientist
Kabbage,3.9,4L -4L,Data Scientist - Intern
GetMyUni,3.7,9L -9L,Data Scientist
Nilkamal,3.9,5L -5L,Data Scientist
Teleperformance,4.2,17T -18T,Data Scientist - Monthly Intern
Yogesh Enterprises,4.1,14T -16T,Data Scientist - Monthly
Amdocs,4.0,21L -23L,Data Scientist
ShareChat,3.7,49T -53T,Data Scientist - Monthly Intern
Nones,3.9,98T -1L,Data Scientist
Amex Interior,4.4,5L -5L,Data Scientist
Magna International,3.7,2L -2L,Data Scientist - Monthly
Jadavpur University,4.5,66T -70T,Data Scientist - Monthly
TVM Infotech,3.6,20T -22T,Data Scientist - Monthly
Impact Analytics,4.0,9L -10L,Data Scientist
innData Analytics,4.5,3L -3L,Data Scientist
City Union Bank,2.9,2L -2L,Data Scientist - Intern
Abhinav IT Solutions,3.7,5L -6L,Data Scientist
IT MNC GROUP,4.2,73T -81T,Data Scientist - Monthly
Jotwani Associates,4.0,42T -45T,Data Scientist - Monthly
Omega,4.0,51T -55T,Data Scientist - Monthly
Accor,4.0,5L -5L,Data Scientist
ThinkBumblebee Analytics,4.5,13L -14L,Data Scientist
Keybell Solutions,4.4,4L -4L,Data Scientist
Luminar Technolab,4.4,11T -13T,Data Scientist - Monthly Contractor
Wolters Kluwer,3.8,27T -29T,Data Scientist - Monthly Intern
REACH Technologies,4.5,11T -12T,Data Scientist - Monthly Intern
Exafluence,4.2,7L -7L,Data Scientist
Smartek21,3.7,12L -13L,Data Scientist
Navedas,3.5,15L -16L,Data Scientist
Secure Meters,4.1,27T -30T,Data Scientist - Monthly
CTE,3.8,1Cr -1Cr,Data Scientist
Legato Technologies,4.3,14L -14L,Data Scientist
CARE Ratings,3.3,6L -7L,Data Scientist
TCS,3.9,7L -8L,Data Scientist - Contractor
Yodlee,3.7,39T -42T,Data Scientist - Monthly Intern
Greymatter Designs,,1L -1L,Data Scientist - Monthly
Abhishek Industries,4.0,15L -17L,Data Scientist
Google,4.4,49L -53L,Data Scientist
Multitude SE,3.3,24L -26L,Data Scientist
Voyomotive,3.4,5L -5L,Data Scientist
JAGUAR LAND ROVER LIMITED,3.9,22L -23L,Data Scientist
Great Learning,4.0,10L -10L,Data Scientist
URS Technologies Solutions,,9L -10L,Data Scientist
Info Edge,4.0,97T -1L,Data Scientist - Monthly
Qubit AI,4.0,19L -20L,Data Scientist
Innovaccer,3.6,49T -54T,Data Scientist - Monthly Intern
Develearn Data Sciences Institute,4.6,7L -8L,Data Scientist
TELiBrahma,3.0,53T -58T,Data Scientist - Monthly
CryptoMize,4.8,10T -10T,Data Scientist - Monthly Intern
Kaar Technologies,4.4,11L -13L,Data Scientist
BizViz Technologies,3.9,3L -4L,Data Scientist
carandbike,4.2,62T -68T,Data Scientist - Monthly
Candela Labs,3.9,23L -25L,Data Scientist
RDA Labs,4.6,20L -22L,Data Scientist
Gauge Data Solutions,3.2,12L -13L,Data Scientist
Aptagrim Consulting,4.0,11T -12T,Data Scientist - Monthly Intern
GE,4.0,5L -5L,Data Scientist
NIT Jalandhar,4.4,40T -44T,Data Scientist - Monthly
LG Ads Solutions,3.4,37L -40L,Data Scientist
Netweb Technologies,4.4,7L -7L,Data Scientist
Lumiq (India),3.5,14T -16T,Data Scientist - Monthly Intern
SMARTECH,4.4,25L -27L,Data Scientist
Vedantu,3.5,38T -41T,Data Scientist - Monthly Intern
Froyo Technologies Pvt Ltd,,19L -21L,Data Scientist
Bajaj Finance,3.7,14T -16T,Data Scientist - Monthly Intern
The Sparks Foundation,3.8,34T -37T,Data Scientist - Monthly
"Eisenberg, Rothweiler, Winkler, Eisenberg & Jeck",5.0,$98T -$1L,Data Scientist
LeetCode,3.8,85T -93T,Data Scientist - Monthly
Motion Industries,3.7,3L -3L,Data Scientist
Shortlist,5.0,10L -10L,Data Scientist
GlobusSoft,4.4,15T -17T,Data Scientist - Monthly Contractor
Ellicium Solutions Private Limited,3.6,3L -3L,Data Scientist
IAK Verzekeringen,3.2,3L -4L,Data Scientist - Monthly
Wizely,4.6,24L -26L,Data Scientist
Bluemind Solutions,4.0,4L -4L,Data Scientist
TechGenies,4.4,7L -7L,Data Scientist
Daicenet Solutions,4.2,9L -10L,Data Scientist
iGloble,3.9,5L -6L,Data Scientist
G&G Partnership,2.5,3L -3L,Data Scientist
Broadcast Audience Research Council,3.7,14L -15L,Data Scientist
Senquire Analytics,3.8,11L -12L,Data Scientist
SelfMade,4.3,3L -3L,Data Scientist - Contractor
L&T Technology Services,3.4,19T -21T,Data Scientist - Monthly Intern
Agastya Automotives,,6L -6L,Data Scientist
Slide Inc,4.4,29L -31L,Data Scientist
Edyoo Technologies,2.5,4L -4L,Data Scientist
Prestidge Group,4.2,16L -18L,Data Scientist
Sanrad Medical Systems,3.4,7L -7L,Data Scientist
Cloud MLM software,5.0,8L -8L,Data Scientist
Qritrim,4.7,5L -6L,Data Scientist
Turings XYZ,4.7,6L -6L,Data Scientist
Husk Power Systems,4.3,38T -42T,Data Scientist - Monthly
Betterplace Safety Solutions,3.8,11L -11L,Data Scientist
Suryoday,3.5,9L -10L,Data Scientist
ASM Technologies,4.0,61T -66T,Data Scientist - Monthly
Novartis Gene Therapies,3.7,19L -21L,Data Scientist
Sysark,4.5,5L -5L,Data Scientist
Amar Singh Chawal Wala,4.5,17L -18L,Data Scientist
Powerup Technology Inc,3.6,48T -53T,Data Scientist - Monthly
Honeywell Automation India,4.0,16L -17L,Data Scientist
Verity Global Solutions,3.3,8L -8L,Data Scientist
The Annet Group,4.2,8L -8L,Data Scientist
W.O. Insurance Brokers,5.0,4L -4L,Data Scientist
University of Washington,4.2,61T -67T,Data Scientist - Monthly Intern
SIC Industries,5.0,24T -26T,Data Scientist - Monthly
Expand AI,5.0,10T -11T,Data Scientist - Monthly Intern
Vibgyor High School,3.8,9L -9L,Data Scientist
Phoneparloan,3.6,11L -12L,Data Scientist
Yoshops,3.7,38T -41T,Data Scientist - Monthly Intern
CILA Labs,3.9,16L -17L,Data Scientist
Zscaler,4.1,16L -18L,Data Scientist
Apra Labs,5.0,1L -2L,Data Scientist - Monthly
PNB MetLife,3.7,21L -23L,Data Scientist
Vion Pharmaceuticals,3.5,4L -4L,Data Scientist
Mobius365,4.0,34T -37T,Data Scientist - Monthly
I3 Infosoft,4.1,6L -6L,Data Scientist
AdAsia Communications,3.2,15L -17L,Data Scientist
Ford Credit,4.0,11L -12L,Data Scientist
ABB,4.0,11L -11L,Data Scientist - Intern
BridgeLabz Solutions,3.5,5L -5L,Data Scientist
Global Health Corps,4.2,48T -52T,Data Scientist - Monthly
Elsevier,4.0,25L -27L,Data Scientist
Deloitte,4.1,84T -92T,Data Scientist - Monthly Intern
Sureshkumar,3.8,5L -5L,Data Scientist
Navigare,3.5,10L -11L,Data Scientist
Hrishikesh Technologies,3.9,17T -19T,Data Scientist - Monthly
NEWJ,3.9,14L -16L,Data Scientist
WriterBay.com,3.8,479 -520,Data Scientist - Hourly
ValueMomentum,3.8,6L -6L,Data Scientist
Booz Allen Hamilton,4.2,98T -1L,Data Scientist - Monthly
Inito,4.4,14L -16L,Data Scientist
IIT,4.3,21L -22L,Data Scientist - Intern
IntellectFaces,3.9,15T -16T,Data Scientist - Monthly Intern
Legato,4.1,57T -62T,Data Scientist - Monthly Intern
Mohs10 Technologies,4.6,97T -1L,Data Scientist - Intern
Yagna iQ,3.7,20T -21T,Data Scientist - Monthly
Prodapt Solutions,3.8,3L -3L,Data Scientist
Yotta Systems,4.2,38T -41T,Data Scientist - Monthly
Cakewalk Software Consultancy,5.0,11L -12L,Data Scientist
Third Eye,3.1,3L -3L,Data Scientist
AirtelTigo,3.4,29L -31L,Data Scientist
Graco,4.2,7L -7L,Data Scientist
First Credit Services,3.3,14L -15L,Data Scientist
Mondelēz International,4.0,25L -27L,Data Scientist
Turtlemint,4.2,13L -14L,Data Scientist
Marsh,3.8,13L -15L,Data Scientist
Arm,4.0,18L -20L,Data Scientist
Intelegencia,3.6,5L -5L,Data Scientist
CoreView Systems,4.2,5L -6L,Data Scientist
Soma Intimates,3.5,10L -10L,Data Scientist
Great Learning,4.0,$4T -$4T,Data Scientist
Bobble AI,3.1,1L -1L,Data Scientist - Monthly
GreyAtom,3.8,7L -8L,Data Scientist
Protium,3.9,29T -31T,Data Scientist - Monthly Intern
Sleepy ZZZ's Mattresses,3.7,11L -11L,Data Scientist
R. Subramanian & Company,4.1,5L -5L,Data Scientist
Goli Vada Pav,2.9,10L -11L,Data Scientist
Softqube Technologies,4.3,5L -5L,Data Scientist
iCliniq,4.4,5L -5L,Data Scientist
iDTech Technologies,3.6,7L -7L,Data Scientist
Unisave Marketing Networks,3.1,19T -21T,Data Scientist - Monthly
CSIR-NGRI,3.8,28T -30T,Data Scientist - Monthly
doodleblue Innovations,4.5,7L -7L,Data Scientist
Routematic,3.3,12L -13L,Data Scientist
The North Face,4.1,69T -75T,Data Scientist - Monthly
Mars,4.3,31L -34L,Data Scientist
Monika Knutsson,4.3,5L -5L,Data Scientist
qplum,3.0,49L -52L,Data Scientist
Allegis Group,3.8,8L -8L,Data Scientist
DONE by NONE,4.0,44L -48L,Data Scientist
YGroup Companies,4.3,17L -18L,Data Scientist
UniAcco,4.0,14T -15T,Data Scientist - Monthly Intern
Arun Estates,4.1,20T -21T,Data Scientist - Monthly
Prashant Kumar,4.6,11L -12L,Data Scientist
Icreon,4.3,11L -12L,Data Scientist
FINEOS,4.4,30L -33L,Data Scientist
Maestro Technologies,4.0,10L -10L,Data Scientist
Megha Engineering and Infrastructure,3.8,18T -20T,Data Scientist - Monthly
UDDAN,3.6,19L -21L,Data Scientist
Clovertex,4.9,9L -9L,Data Scientist
BCS Technology,3.0,19L -20L,Data Scientist
Samsung R&D Institute India - Bangalore,3.1,12L -12L,Data Scientist - Intern
Deloitte,4.1,6L -7L,Data Scientist
Jupiter Money,4.1,21L -22L,Data Scientist
HRS Group,3.3,38T -41T,Data Scientist - Monthly Intern
upGrad,4.1,1L -1L,Data Scientist
Inceptua,3.9,3L -3L,Data Scientist
augurai,4.0,42T -45T,Data Scientist - Monthly
SMEC,3.9,11L -12L,Data Scientist
Phaethon Technologies,,7L -7L,Data Scientist
Orzota,3.7,5L -5L,Data Scientist
Shay Murtagh Precast,3.4,84T -90T,Data Scientist
JBT Corporation,3.8,1L -1L,Data Scientist - Monthly
Chase,3.8,74T -81T,Data Scientist - Monthly
Atlassian,4.5,16L -18L,Data Scientist - Intern
Abrakadoodle,3.9,83T -90T,Data Scientist - Monthly
NBO Shoes,4.0,16L -18L,Data Scientist
Iknack Solutions,4.4,6L -6L,Data Scientist
Recruitment Smart Technologies,4.3,32L -34L,Data Scientist
Roton Consultancies Private Limited,4.1,15T -16T,Data Scientist - Monthly
Learnbay,4.6,19T -21T,Data Scientist - Intern
Edupluscampus,4.0,10L -11L,Data Scientist
Transabel,4.0,21T -23T,Data Scientist - Monthly
EXL Service,3.8,6L -6L,Data Scientist
Unemployed Professors,3.5,12L -13L,Data Scientist
Wellspring Systems,5.0,21L -22L,Data Scientist
Brown University,4.4,10T -11T,Data Scientist - Monthly
BrightChamps,3.8,4L -4L,Data Scientist
Nanyang Technological University,3.9,3L -3L,Data Scientist
Automaton AI,4.2,6L -7L,Data Scientist
Wicky,,7L -8L,Data Scientist
Eruvaka Technologies,4.3,22T -24T,Data Scientist - Monthly Intern
Fiabilte Networks Solutions,3.4,5L -6L,Data Scientist - Intern
Cellular Sales,3.7,107 -115,Data Scientist - Hourly
Fission Labs,4.5,16L -17L,Data Scientist
ABC Ltd,4.0,15L -16L,Data Scientist
Eigenlytics,2.3,21T -23T,Data Scientist - Monthly
Illinois Institute of Technology,4.0,12L -13L,Data Scientist
TIDC India,3.5,3L -3L,Data Scientist
Becton Dickinson,3.9,16L -18L,Data Scientist
Wellness Forever,3.8,5L -5L,Data Scientist - Intern
Proven Solution,3.9,10L -10L,Data Scientist
Mediawide,4.5,23L -25L,Data Scientist
Matrimony.com,4.6,3L -4L,Data Scientist
i4u Labs,4.0,37L -40L,Data Scientist
Enqos,4.4,13L -13L,Data Scientist
PV Diagnostics,4.8,6L -7L,Data Scientist
Learnbay,4.6,3L -3L,Data Scientist
Mrinq Technologies,5.0,180 -195,Data Scientist - Hourly
OTS,4.2,10L -10L,Data Scientist
smartData Enterprises,2.8,4L -4L,Data Scientist
Fidelity National Financial,3.6,11L -12L,Data Scientist
UnitedHealth Group,3.7,$86T -$94T,Data Scientist
Zolo,3.4,12L -13L,Data Scientist
Expertzlab Technologies,4.3,2L -3L,Data Scientist - Intern
ASH Group,3.5,5L -5L,Data Scientist
College Internship Program,4.4,67T -73T,Data Scientist - Monthly
Kramer Levin,3.9,10L -11L,Data Scientist
Goo-Goo Express Wash,2.8,3L -4L,Data Scientist
SLB,4.0,$54T -$58T,Data Scientist
Evolutyz Corp,4.4,15L -17L,Data Scientist - Contractor
DeepNeura Technologies,,57T -62T,Data Scientist - Monthly
iNeuron,4.4,25T -27T,Data Scientist - Monthly
Nothing,3.9,48T -52T,Data Scientist - Monthly
Antier Solutions,4.3,4L -4L,Data Scientist
LSI,3.3,10L -11L,Data Scientist
JSW Steel,3.5,9L -10L,Data Scientist
SiCureMi,4.5,2L -2L,Data Scientist
Alp Consulting,3.5,4L -4L,Data Scientist
CommerceIQ,3.5,25L -28L,Data Scientist
Technosapiens,5.0,30T -32T,Data Scientist - Monthly
BI-LO,4.0,10L -11L,Data Scientist
Shri Vaishnav Vidyapeeth Vishwavidyalaya,3.2,5L -5L,Data Scientist
LetsGrowMore,4.3,6L -6L,Data Scientist
Amnex Infotechnologies,3.6,3L -3L,Data Scientist
DonorsChoose.org,4.0,39T -42T,Data Scientist - Monthly
Cargill,4.0,25L -27L,Data Scientist
EzeRx,5.0,19T -20T,Data Scientist - Monthly
Bennett University,3.8,39T -42T,Data Scientist - Monthly
Terrabit Consulting,4.5,10L -11L,Data Scientist
Mahendra Technosoft,4.5,4L -5L,Data Scientist
MomentText,4.0,8L -9L,Data Scientist
Atonarp,3.2,51L -54L,Data Scientist
Fresher,4.1,14T -15T,Data Scientist - Monthly Contractor
Zerodha,4.3,11L -12L,Data Scientist
RituRaj Synergy,4.0,15L -16L,Data Scientist
Evolve Systems,4.2,14L -15L,Data Scientist
M-SIX Technology,4.6,10L -11L,Data Scientist
Volansys,3.9,5L -5L,Data Scientist
FirstRand,4.1,21L -23L,Data Scientist - Contractor
Endovision,5.0,11L -12L,Data Scientist
Bijak,4.0,10L -11L,Data Scientist
Damac Properties,3.3,26L -28L,Data Scientist
InovarTech,3.9,15L -17L,Data Scientist
Cerebra Technologies,4.0,$41 -$44,Data Scientist - Hourly
Paytm,3.6,10T -10T,Data Scientist - Monthly
ABC Technologies,3.5,11L -12L,Data Scientist
IBM,4.0,48T -53T,Data Scientist - Monthly
Continental Automotive Group,4.2,2L -2L,Data Scientist
DV Analytics,4.9,14L -15L,Data Scientist
Ramesh & Co.,3.9,10L -11L,Data Scientist
GrayMatter Software Services,3.7,6L -7L,Data Scientist
Exl-Technologies,3.7,6L -7L,Data Scientist
Jio,3.8,$48 -$52,Data Scientist - Hourly
Acies Global,4.5,4L -5L,Data Scientist
CommerceIQ,3.5,1L -1L,Data Scientist - Monthly Intern
Datametica,4.1,19T -21T,Data Scientist - Monthly Intern
Random Trees,4.4,10L -10L,Data Scientist
Fashnear Technologies,3.7,38L -42L,Data Scientist
Shiv Nadar University,4.2,6L -7L,Data Scientist
ÖJAB,5.0,30T -33T,Data Scientist - Monthly
aioneers,4.0,6L -7L,Data Scientist
Aon,4.0,5L -6L,Data Scientist
Cloud Counselage,4.6,11T -12T,Data Scientist - Monthly Intern
